Player,Minutes,Actual Impact,Predicted Impact
Iván Alejo,1692.0,0.010638297872340425,0.01196325633579455
Carles Aleñá,1017.0000000000001,0.01966568338249754,0.012189338525945377
Trent Alexander-Arnold,2151.0,0.03300790330079033,0.011809520446491988
Aboubacar Ali,125.99999999999999,0.015873015873015876,0.012487767016944469
Mohamed Ali Cho,251.99999999999997,0.003968253968253969,0.012445565008116315
Mohamed Ali Cho,864.0,0.019675925925925927,0.012240583822379565
Faride Alidou,1278.0,0.014084507042253521,0.012101920079087057
Nabil Alioui,1007.9999999999999,0.02876984126984127,0.012192352955147388
Alisson,2520.0,0.0003968253968253968,0.011685928849209534
Tadeo Allende,333.0,0.009009009009009009,0.012418435145298216
Jim Allevinah,1863.0,0.012345679012345678,0.011905982180956341
Domingos André Ribeiro Almeida,962.9999999999999,0.016614745586708207,0.012207425101157443
Miguel Almirón,1935.0,0.014470284237726097,0.011881866747340252
Pontus Almqvist,2106.0,0.014245014245014245,0.011824592592502042
Marcos Alonso,251.99999999999997,0.019841269841269844,0.012445565008116315
Adrià Altimira,774.0,0.002583979328165375,0.012270728114399675
Sergi Altimira,567.0,0.008818342151675485,0.01234005998604593
Edson Álvarez,2376.0,0.005892255892255892,0.011734159716441712
Gastón Álvarez,2538.0,0.003940110323089046,0.011679899990805513
Hugo Álvarez,765.0,0.027450980392156862,0.012273742543601687
Julián Álvarez,2646.0,0.03250188964474679,0.011643726840381381
Yeray Álvarez,1152.0,0.0026041666666666665,0.012144122087915212
Skelly Alvero,423.0,0.004728132387706856,0.012388290853278106
Skelly Alvero,125.99999999999999,0.015873015873015876,0.012487767016944469
Papa Amadou Diallo,891.0,0.016835016835016835,0.012231540534773532
Selim Amallah,603.0,0.008291873963515755,0.012328002269237885
Amath,396.00000000000006,0.007575757575757575,0.012397334140884139
Lorenzo Amatucci,18.0,0.0,0.012523940167368602
Jordan Amavi,90.0,0.011111111111111112,0.012499824733752513
Zeki Amdouni,1953.0,0.011264720942140297,0.01187583788893623
Kelvin Amian,801.0,0.00749063670411985,0.012261684826793642
Bruno Amione,576.0,0.001736111111111111,0.012337045556843918
Michael Amir Murillo,999.0,0.012012012012012012,0.0121953673843494
Nadiem Amiri,1314.0,0.04337899543378995,0.012089862362279014
Nadiem Amiri,90.0,0.011111111111111112,0.012499824733752513
Sofyan Amrabat,936.0,0.00641025641025641,0.012216468388763477
Joachim Andersen,3411.0,0.00732922896511287,0.011387500358210442
Elliot Anderson,1026.0,0.016569200779727095,0.012186324096743367
Felipe Anderson,2772.0,0.01911976911976912,0.011601524831553226
Benjamin André,2574.0,0.008935508935508936,0.011667842273997468
Komnen Andrić,171.0,0.023391812865497075,0.012472694870934414
Robert Andrich,1692.0,0.016548463356973995,0.01196325633579455
Miguel Ángel Rubio,1557.0,0.0019267822736030828,0.012008472773824715
Angeliño,1143.0,0.017497812773403325,0.012147136517117223
Ângelo,1098.0,0.026411657559198543,0.012162208663127278
Fabrizio Angileri,162.0,0.024691358024691357,0.012475709300136426
Jaidon Anthony,153.0,0.0,0.012478723729338436
Waldemar Anton,2889.0,0.004153686396677051,0.011562337251927082
Michail Antonio,1692.0,0.009456264775413711,0.01196325633579455
Antony,1323.0,0.018140589569160998,0.012086847933077002
Christopher Antwi-Adjei,1215.0,0.023045267489711935,0.012123021083501134
Houssem Aouar,756.0,0.018518518518518517,0.012276756972803697
Stredair Appuah,81.0,0.0,0.012502839162954525
Mauro Arambarri,342.0,0.005847953216374269,0.012415420716096205
Jon Aramburu,540.0,0.0,0.012349103273651962
Asaf Arania,9.0,0.0,0.012526954596570612
Julian Araujo,1458.0,0.011659807956104253,0.012041631495046837
Ronald Araújo,1998.0,0.0055055055055055055,0.011860765742926174
Oliver Arblaster,945.0,0.01164021164021164,0.012213453959561466
Cameron Archer,1835.9999999999998,0.01525054466230937,0.011915025468562374
Cameron Archer,9.0,0.0,0.012526954596570612
Alphonse Areola,2700.0,0.0,0.011625640265169315
